"filename", "language", "JSON", "Dart", "HTML", "YAML", "Markdown", "Groovy", "Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\enum\plant_topic.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\enum\role.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\sharky\flutter_plant_market\lib\src\core\data\defines\enum\supported_theme.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\sharky\flutter_plant_market\lib\src\core\data\models\null_checker.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\sharky\flutter_plant_market\lib\src\core\data\models\user_model.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\sharky\flutter_plant_market\lib\src\core\data\models\user_model.g.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 37
"c:\sharky\flutter_plant_market\lib\src\core\data\repositories_impl\user_repository_impl.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\sharky\flutter_plant_market\lib\src\core\di\di.config.dart", "Dart", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 215
"c:\sharky\flutter_plant_market\lib\src\core\di\di.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\sharky\flutter_plant_market\lib\src\core\di\di_set_up.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\sharky\flutter_plant_market\lib\src\core\di\part_di.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\sharky\flutter_plant_market\lib\src\core\domain\entities\user_entity.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\sharky\flutter_plant_market\lib\src\core\domain\repositories\user_repository.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
